subject_id;trial;anecdote_positivity;anecdote_vividness;cue_positivity;number_of_cues;response2;trial_ranking_set;response;trial_anecdote;ranking_at_num_cues
503;6;1;0;1;0;top 5;[5, 2, 3, 6, 4, 5, 2, 7, 1, 3];pistle uyum içerisindeydi ve seyircileri memnun  etti; geçen hafta yarışta harika bir performans sergiledi. Yarış boyunca kendini iyi gösterdi. Koşu boyunca piste çok iyi bir uyum sağladı. Güçlü bir performansla izleyenleri etkiledi. Yarışı izleyenler de bu performanstan oldukça etkilendi.;3
503;7;0;1;0;1;bottom 5;[4, 9, 8, 8, 8, 8, 4, 10, 5, 6];yavaş başladi yarişa ve ivme kaybetti; geçen hafta kötü bir performans sergiledi. Yarışın başında beklenenden yavaş hareket etti, hız kazanamadı. Pistte ilerlerken adımları dengesizleşti, ivme kaybetti. En sona doğru bacakları tükenmiş gibiydi. Seyircilerin hayal kırıklığı yüzlerinden okunuyordu.;8
503;8;0;0;1;1;top 5;[7, 1, 3, 4, 2, 6, 3, 4, 7, 3];çok iyiydi ve seyircileri coşturdu; geçen hafta iyi bir performans sergileyemedi. Başından beri geride kaldı, hiç hızlanamadı. Yarış boyunca istenilen tempoya bir türlü ulaşamadı. Son düzlüğe gelindiğinde hızı oldukça düşmüştü ve yarışı da bu şekilde tamamladı. İzleyenlerin beklentilerini karşılayamadı.;4
504;1;1;1;0;3;top 5;[6, 8, 7, 5, 8, 6, 10, 4, 9, 4];etkileyici bir performans sergiledi son düzlükte hizini arttirdi;geçen hafta yarışta etkileyici bir performans sergiledi. Güven veren bir başlangıcın ardından güçlü bir şekilde öne atıldı. Son virajda adımlarını hızlandırırken yelesi rüzgârla beraber savruluyordu. Kuvvetli bacaklarıyla son düzlükte ileriye fırladı. Nal sesleriyle birlikte tribünler de coştu.;6
504;2;0;1;1;1;bottom 5;[7, 1, 3, 4, 2, 6, 3, 4, 7, 3];beklenenden kötü bir performans sergiledi hiz ve ivme alamadi bacaklari tükenmiş gibiydi; geçen hafta kötü bir performans sergiledi. Yarışın başında beklenenden yavaş hareket etti, hız kazanamadı. Pistte ilerlerken adımları dengesizleşti, ivme kaybetti. En sona doğru bacakları tükenmiş gibiydi. Seyircilerin hayal kırıklığı yüzlerinden okunuyordu.;4
504;3;1;1;1;0;top 5;[6, 1, 4, 6, 4, 1, 3, 8, 4, 4];müthiş bir performans sergiledi sonlara doğru herkesin gözü ondaydi;geçen hafta yarışta müthiş bir performans sergiledi. Başlangıçta biraz gerideydi ama hızla öne fırladı. Son düzlüğe geldiğinde, rüzgar gibi hızlandı. Bileklerini esnekçe kullanarak ivme kazandı ve rakiplerini geride bıraktı. Sona doğru, herkesin gözü ondaydı. Tribünlerden alkışlar yükseldi.;4
504;4;1;0;0;3;bottom 5;[4, 9, 8, 8, 8, 8, 4, 10, 5, 6];piste iyi uyum sağladi izleyenleri performansiyla etkiledi; geçen hafta yarışta harika bir performans sergiledi. Yarış boyunca kendini iyi gösterdi. Koşu boyunca piste çok iyi bir uyum sağladı. Güçlü bir performansla izleyenleri etkiledi. Yarışı izleyenler de bu performanstan oldukça etkilendi.;8
504;5;0;0;1;2;top 5;[6, 4, 2, 3, 1, 3, 8, 4, 4, 6];kondisyonu yetersizdi ve hizlanamadi; geçen hafta yarışta başarısız bir performans sergiledi. İlk andan itibaren bekleneni veremedi. Yarış boyunca temposunu arttıramadı. Son düzlüğe gelinirken kondisyonunun yetersiz olduğu anlaşılıyordu. Tribünler büyük bir hayal kırıklığına uğradı.;1
504;6;0;1;0;3;bottom 5;[5, 9, 6, 8, 7, 8, 3, 10, 5, 9];yarişin başindan geride kaldi ve çamura batar gibi ağirlaşmiş; geçen haftaki yarışta kötü bir performans sergiledi. Yarışın başında hemen geride kaldı. Her adımda, sanki çamura batıyormuş gibi ağırlaşıyordu. Son düzlüğe geldiğinde, bütün hızını kaybetmişti. Tribünlerden homurtularla birlikte yarışı tamamladı.;8
504;7;0;0;0;7;bottom 5;[5, 9, 7, 8, 4, 6, 6, 9, 5, 9];beklentileri karşilayamadi ve hizlanamadi; geçen hafta iyi bir performans sergileyemedi. Başından beri geride kaldı, hiç hızlanamadı. Yarış boyunca istenilen tempoya bir türlü ulaşamadı. Son düzlüğe gelindiğinde hızı oldukça düşmüştü ve yarışı da bu şekilde tamamladı. İzleyenlerin beklentilerini karşılayamadı.;9
504;8;1;0;1;2;top 5;[5, 2, 3, 6, 4, 5, 2, 7, 1, 3];dikkat alici bir performans sergiledi güçlü ve hizli bir başlangiçta bulundu; geçen hafta yarışta dikkat çeken bir performans sergiledi. Yarışa dengeli ve güçlü bir şekilde başladı. Yarış boyunca güçlü temposunu koruyarak dikkatleri üzerine çekti. Koşuyu da oldukça etkileyici bir şekilde tamamladı. Seyirciler tarafından hayli takdir edildi.;4
505;1;1;1;1;2;top 5;[6, 1, 4, 6, 4, 1, 3, 8, 4, 4];göksay cinsi one atilarak baslar;geçen hafta yarışta etkileyici bir performans sergiledi. Güven veren bir başlangıcın ardından güçlü bir şekilde öne atıldı. Son virajda adımlarını hızlandırırken yelesi rüzgârla beraber savruluyordu. Kuvvetli bacaklarıyla son düzlükte ileriye fırladı. Nal sesleriyle birlikte tribünler de coştu.;4
505;2;0;0;0;1;bottom 5;[5, 9, 6, 8, 7, 8, 3, 10, 5, 9];beklenen performansi sergileyemedi tunckanat cinsi; geçen hafta yarışta başarısız bir performans sergiledi. İlk andan itibaren bekleneni veremedi. Yarış boyunca temposunu arttıramadı. Son düzlüğe gelinirken kondisyonunun yetersiz olduğu anlaşılıyordu. Tribünler büyük bir hayal kırıklığına uğradı.;8
505;3;0;0;1;7;top 5;[7, 1, 3, 4, 2, 6, 3, 4, 7, 3];alaztoynak cinsi yavas kalmasi; geçen hafta iyi bir performans sergileyemedi. Başından beri geride kaldı, hiç hızlanamadı. Yarış boyunca istenilen tempoya bir türlü ulaşamadı. Son düzlüğe gelindiğinde hızı oldukça düşmüştü ve yarışı da bu şekilde tamamladı. İzleyenlerin beklentilerini karşılayamadı.;3
505;4;0;1;0;0;bottom 5;[4, 9, 8, 8, 8, 8, 4, 10, 5, 6];kizil doruk cinsi yarista ivme kaybeti; geçen hafta kötü bir performans sergiledi. Yarışın başında beklenenden yavaş hareket etti, hız kazanamadı. Pistte ilerlerken adımları dengesizleşti, ivme kaybetti. En sona doğru bacakları tükenmiş gibiydi. Seyircilerin hayal kırıklığı yüzlerinden okunuyordu.;8
505;5;0;1;1;3;top 5;[6, 4, 2, 3, 1, 3, 8, 4, 4, 6];yeleveren cinsi kotü bir performans sergiledi; geçen haftaki yarışta kötü bir performans sergiledi. Yarışın başında hemen geride kaldı. Her adımda, sanki çamura batıyormuş gibi ağırlaşıyordu. Son düzlüğe geldiğinde, bütün hızını kaybetmişti. Tribünlerden homurtularla birlikte yarışı tamamladı.;3
505;6;1;1;0;4;bottom 5;[6, 8, 7, 5, 8, 6, 10, 4, 9, 4];gümüş cimen cinsi muthis performans sergiledi;geçen hafta yarışta müthiş bir performans sergiledi. Başlangıçta biraz gerideydi ama hızla öne fırladı. Son düzlüğe geldiğinde, rüzgar gibi hızlandı. Bileklerini esnekçe kullanarak ivme kazandı ve rakiplerini geride bıraktı. Sona doğru, herkesin gözü ondaydı. Tribünlerden alkışlar yükseldi.;10
505;7;1;0;0;5;bottom 5;[5, 9, 7, 8, 4, 6, 6, 9, 5, 9];bozdalga harika performans sergiledi; geçen hafta yarışta harika bir performans sergiledi. Yarış boyunca kendini iyi gösterdi. Koşu boyunca piste çok iyi bir uyum sağladı. Güçlü bir performansla izleyenleri etkiledi. Yarışı izleyenler de bu performanstan oldukça etkilendi.;9
505;8;1;0;1;2;top 5;[5, 2, 3, 6, 4, 5, 2, 7, 1, 3];dikkat ceken bir performans gece kivilcimi; geçen hafta yarışta dikkat çeken bir performans sergiledi. Yarışa dengeli ve güçlü bir şekilde başladı. Yarış boyunca güçlü temposunu koruyarak dikkatleri üzerine çekti. Koşuyu da oldukça etkileyici bir şekilde tamamladı. Seyirciler tarafından hayli takdir edildi.;4
506;1;1;0;1;0;top 5;[7, 1, 3, 4, 2, 6, 3, 4, 7, 3];dengeli ve güçlü; geçen hafta yarışta dikkat çeken bir performans sergiledi. Yarışa dengeli ve güçlü bir şekilde başladı. Yarış boyunca güçlü temposunu koruyarak dikkatleri üzerine çekti. Koşuyu da oldukça etkileyici bir şekilde tamamladı. Seyirciler tarafından hayli takdir edildi.;3
506;2;1;0;0;2;bottom 5;[4, 9, 8, 8, 8, 8, 4, 10, 5, 6];güçlü bir performans ve piste iyi uyum; geçen hafta yarışta harika bir performans sergiledi. Yarış boyunca kendini iyi gösterdi. Koşu boyunca piste çok iyi bir uyum sağladı. Güçlü bir performansla izleyenleri etkiledi. Yarışı izleyenler de bu performanstan oldukça etkilendi.;8
506;3;0;1;0;0;bottom 5;[5, 9, 6, 8, 7, 8, 3, 10, 5, 9];yavaş hareket etti hiz kazanamadi; geçen hafta kötü bir performans sergiledi. Yarışın başında beklenenden yavaş hareket etti, hız kazanamadı. Pistte ilerlerken adımları dengesizleşti, ivme kaybetti. En sona doğru bacakları tükenmiş gibiydi. Seyircilerin hayal kırıklığı yüzlerinden okunuyordu.;6
506;4;0;1;1;1;top 5;[5, 2, 3, 6, 4, 5, 2, 7, 1, 3];kötü bir performans sonlara doğru adimlari ağirlaşti; geçen haftaki yarışta kötü bir performans sergiledi. Yarışın başında hemen geride kaldı. Her adımda, sanki çamura batıyormuş gibi ağırlaşıyordu. Son düzlüğe geldiğinde, bütün hızını kaybetmişti. Tribünlerden homurtularla birlikte yarışı tamamladı.;6
506;5;0;0;0;0;bottom 5;[5, 9, 7, 8, 4, 6, 6, 9, 5, 9];istenilen tempoya ulaşamadi sonlara doğru hizi düştü; geçen hafta iyi bir performans sergileyemedi. Başından beri geride kaldı, hiç hızlanamadı. Yarış boyunca istenilen tempoya bir türlü ulaşamadı. Son düzlüğe gelindiğinde hızı oldukça düşmüştü ve yarışı da bu şekilde tamamladı. İzleyenlerin beklentilerini karşılayamadı.;7
506;6;1;1;0;2;bottom 5;[6, 8, 7, 5, 8, 6, 10, 4, 9, 4];hizlandi r;geçen hafta yarışta müthiş bir performans sergiledi. Başlangıçta biraz gerideydi ama hızla öne fırladı. Son düzlüğe geldiğinde, rüzgar gibi hızlandı. Bileklerini esnekçe kullanarak ivme kazandı ve rakiplerini geride bıraktı. Sona doğru, herkesin gözü ondaydı. Tribünlerden alkışlar yükseldi.;8
506;7;1;1;1;0;top 5;[6, 4, 2, 3, 1, 3, 8, 4, 4, 6];güçlü adimlar ve hizli;geçen hafta yarışta etkileyici bir performans sergiledi. Güven veren bir başlangıcın ardından güçlü bir şekilde öne atıldı. Son virajda adımlarını hızlandırırken yelesi rüzgârla beraber savruluyordu. Kuvvetli bacaklarıyla son düzlükte ileriye fırladı. Nal sesleriyle birlikte tribünler de coştu.;2
506;8;0;0;1;2;top 5;[6, 1, 4, 6, 4, 1, 3, 8, 4, 4];; geçen hafta yarışta başarısız bir performans sergiledi. İlk andan itibaren bekleneni veremedi. Yarış boyunca temposunu arttıramadı. Son düzlüğe gelinirken kondisyonunun yetersiz olduğu anlaşılıyordu. Tribünler büyük bir hayal kırıklığına uğradı.;4
507;1;0;0;1;0;bottom 5;[5, 2, 3, 6, 4, 5, 2, 7, 1, 3];bekleneni veremedi  yarişin başindan beri ve temposunu artiramadi ve kötü bir başlangiç yapti; geçen hafta yarışta başarısız bir performans sergiledi. İlk andan itibaren bekleneni veremedi. Yarış boyunca temposunu arttıramadı. Son düzlüğe gelinirken kondisyonunun yetersiz olduğu anlaşılıyordu. Tribünler büyük bir hayal kırıklığına uğradı.;3
507;2;1;0;1;0;top 5;[6, 1, 4, 6, 4, 1, 3, 8, 4, 4];iyi bir performans gösterd ve zleyenler etkled ve haftaya y br başlangiç ypti ; geçen hafta yarışta harika bir performans sergiledi. Yarış boyunca kendini iyi gösterdi. Koşu boyunca piste çok iyi bir uyum sağladı. Güçlü bir performansla izleyenleri etkiledi. Yarışı izleyenler de bu performanstan oldukça etkilendi.;4
507;3;1;1;1;0;top 5;[7, 1, 3, 4, 2, 6, 3, 4, 7, 3];ilk başta gerideydi ama sonraya doğru hizlandi son düzlükte iyice ivme kazandi ve hizlandi rakiplerini geride birakti ve iyi bir alkiş topladi bileklerini kullanarak ivme kazandi;geçen hafta yarışta müthiş bir performans sergiledi. Başlangıçta biraz gerideydi ama hızla öne fırladı. Son düzlüğe geldiğinde, rüzgar gibi hızlandı. Bileklerini esnekçe kullanarak ivme kazandı ve rakiplerini geride bıraktı. Sona doğru, herkesin gözü ondaydı. Tribünlerden alkışlar yükseldi.;3
507;4;0;1;1;0;top 5;[6, 4, 2, 3, 1, 3, 8, 4, 4, 6];yarişa iyi başlamadi hizini artiramadi ivme kaybetti ve seyircilerin hayal kirikliği yaşadiklari belliydi; geçen hafta kötü bir performans sergiledi. Yarışın başında beklenenden yavaş hareket etti, hız kazanamadı. Pistte ilerlerken adımları dengesizleşti, ivme kaybetti. En sona doğru bacakları tükenmiş gibiydi. Seyircilerin hayal kırıklığı yüzlerinden okunuyordu.;2
507;5;0;1;0;0;bottom 5;[5, 9, 6, 8, 7, 8, 3, 10, 5, 9];yarişa geride başladi ve gittikçe ağirlaşiyordu seyircilerin homurtulariyla yarişi bitirdi; geçen haftaki yarışta kötü bir performans sergiledi. Yarışın başında hemen geride kaldı. Her adımda, sanki çamura batıyormuş gibi ağırlaşıyordu. Son düzlüğe geldiğinde, bütün hızını kaybetmişti. Tribünlerden homurtularla birlikte yarışı tamamladı.;6
507;6;1;0;0;0;bottom 5;[6, 8, 7, 5, 8, 6, 10, 4, 9, 4];yarişa etkileyici bir başlangiç yapti ve temposunu korudu; geçen hafta yarışta dikkat çeken bir performans sergiledi. Yarışa dengeli ve güçlü bir şekilde başladı. Yarış boyunca güçlü temposunu koruyarak dikkatleri üzerine çekti. Koşuyu da oldukça etkileyici bir şekilde tamamladı. Seyirciler tarafından hayli takdir edildi.;7
507;7;0;0;0;0;bottom 5;[4, 9, 8, 8, 8, 8, 4, 10, 5, 6];hiç hizlanamadi ve izleyenlerin beklentilerini karşilayamadi ve hizlanamadi; geçen hafta iyi bir performans sergileyemedi. Başından beri geride kaldı, hiç hızlanamadı. Yarış boyunca istenilen tempoya bir türlü ulaşamadı. Son düzlüğe gelindiğinde hızı oldukça düşmüştü ve yarışı da bu şekilde tamamladı. İzleyenlerin beklentilerini karşılayamadı.;8
507;8;1;1;0;0;bottom 5;[5, 9, 7, 8, 4, 6, 6, 9, 5, 9];iyi bir şekilde başladi ve etkileyici bir tempo yakaladi izleyenlerin  alkişini kazandi;geçen hafta yarışta etkileyici bir performans sergiledi. Güven veren bir başlangıcın ardından güçlü bir şekilde öne atıldı. Son virajda adımlarını hızlandırırken yelesi rüzgârla beraber savruluyordu. Kuvvetli bacaklarıyla son düzlükte ileriye fırladı. Nal sesleriyle birlikte tribünler de coştu.;7
508;1;0;1;0;2;bottom 5;[5, 9, 7, 8, 4, 6, 6, 9, 5, 9];ismi yalniz rota ve cinsi gumuscimen; geçen hafta kötü bir performans sergiledi. Yarışın başında beklenenden yavaş hareket etti, hız kazanamadı. Pistte ilerlerken adımları dengesizleşti, ivme kaybetti. En sona doğru bacakları tükenmiş gibiydi. Seyircilerin hayal kırıklığı yüzlerinden okunuyordu.;4
508;2;1;0;1;6;bottom 5;[5, 2, 3, 6, 4, 5, 2, 7, 1, 3];ismi sis tirisi ve cinsi tunckanat; geçen hafta yarışta dikkat çeken bir performans sergiledi. Yarışa dengeli ve güçlü bir şekilde başladı. Yarış boyunca güçlü temposunu koruyarak dikkatleri üzerine çekti. Koşuyu da oldukça etkileyici bir şekilde tamamladı. Seyirciler tarafından hayli takdir edildi.;1
508;3;0;1;1;0;bottom 5;[7, 1, 3, 4, 2, 6, 3, 4, 7, 3];yarisin hemen basinda ger kaldi ve camurda kostu; geçen haftaki yarışta kötü bir performans sergiledi. Yarışın başında hemen geride kaldı. Her adımda, sanki çamura batıyormuş gibi ağırlaşıyordu. Son düzlüğe geldiğinde, bütün hızını kaybetmişti. Tribünlerden homurtularla birlikte yarışı tamamladı.;3
508;4;1;0;0;0;top 5;[5, 9, 6, 8, 7, 8, 3, 10, 5, 9];ismi solgun yaprak ve cinsi cirasyel; geçen hafta yarışta harika bir performans sergiledi. Yarış boyunca kendini iyi gösterdi. Koşu boyunca piste çok iyi bir uyum sağladı. Güçlü bir performansla izleyenleri etkiledi. Yarışı izleyenler de bu performanstan oldukça etkilendi.;6
508;5;0;0;0;0;bottom 5;[6, 8, 7, 5, 8, 6, 10, 4, 9, 4];kum tepe cinsinde ve ismi derin sis; geçen hafta yarışta başarısız bir performans sergiledi. İlk andan itibaren bekleneni veremedi. Yarış boyunca temposunu arttıramadı. Son düzlüğe gelinirken kondisyonunun yetersiz olduğu anlaşılıyordu. Tribünler büyük bir hayal kırıklığına uğradı.;7
508;6;1;1;0;0;top 5;[4, 9, 8, 8, 8, 8, 4, 10, 5, 6];yeleveren cinsinden ters akimgeçen isimli at son düzlükte öne geçip herkesin alkislamasini sağladi;geçen hafta yarışta müthiş bir performans sergiledi. Başlangıçta biraz gerideydi ama hızla öne fırladı. Son düzlüğe geldiğinde, rüzgar gibi hızlandı. Bileklerini esnekçe kullanarak ivme kazandı ve rakiplerini geride bıraktı. Sona doğru, herkesin gözü ondaydı. Tribünlerden alkışlar yükseldi.;8
508;7;0;0;1;0;bottom 5;[6, 1, 4, 6, 4, 1, 3, 8, 4, 4];bozdalga cinsinde uzak dalga ismimli at yaris boyunca yavasti bekleneni veremedi; geçen hafta iyi bir performans sergileyemedi. Başından beri geride kaldı, hiç hızlanamadı. Yarış boyunca istenilen tempoya bir türlü ulaşamadı. Son düzlüğe gelindiğinde hızı oldukça düşmüştü ve yarışı da bu şekilde tamamladı. İzleyenlerin beklentilerini karşılayamadı.;4
